name,avg
강남구,40
강동구,42
강북구,45
강서구,46
관악구,49
광진구,43
구로구,42
금천구,39
노원구,40
도봉구,38
동대문구,39
동작구,43
마포구,46
서대문구,42
서초구,44
성동구,45
성북구,44
송파구,40
양천구,48
영등포구,44
용산구,34
은평구,42
종로구,38
중구,38
중랑구,38
